;Why or why not?
627;I would assume I was legally protected from issues arising from discussing it.
628;if it did not affect my job performance i would not discuss it
629;It would probably depend on the specific physical health issue, but I would worry about it affecting my chances to land that job, especially if I would need special treatment / time off of work / etc.
630;
631;Physical health problems do not carry the same stigma. Mental health problems are considered a weakness.
632;
633;It would depend on whether it was relevant to the job, if it would effect it negatively. 
634;It's relevant 
635;less stigma
636;I have an issue and always bring it up
637;Afraid of prejudice 
638;
639;It might impact me negatively.
640;honesty
641;It's often easier to talk about. Less stigma associated with it.
642;
643;It's none of their business unless I need an accommodation, which for the work I do, I generally don't 
644;
645;
646;
647;
648;
649;Only if an accommodation were needed as condition of employment, or I needed the answer in deciding whether to accept employment
650;because it would kill my job chances
651;Might have. Bad impact on how they view my performance 
652;I wouldn't want any mental health issues to affect hiring decisions with respect to me.
653;
654;Employers seem to be more willing to deal with workplace assistance for physical ailments.
655;I would only bring it up if relevent.
656;Legislation in my jurisdiction mandates certain protections for employees who need concessions due to health.
657;As a matter of privacy, I would not.
658;I don't want to add any cause for bias until the hiring has been decided one way or another.
659;
660;
661;Depends on the issue, how it affected my work or responsibilities.
662;My mental health issues are well-managed. I'm open about them with people I trust, and happy to discuss them overall. But, it hasn't been relevant to bring up in the workplace. 
663;It may unconsciously affect their decision.
664;Getting the job would be more important in the short term.
665;I would want a potential employer to understand the extent of my physical abilities and limitations up front to prevent misunderstandings down the road.
666;Not relevant to hiring process
667;Wouldn't want to jeopardize my chances at the position
668;Depends on if it would affect my job, and even then I wouldn't necessarily bring it up in case it made them not hire me. Like a pregnancy for example.
669;don't want it to effect willingness to give me job
670;It depends on the severity of the issue
671;I would wait until I have an offer.
672;To make sure that my physical health issues would be accomodated
673;if it affected my ability to do the work, if it required modifications to my environment
674;
675;"I would like to think that health issues should be unrelated to the hiring process, but I know this is not always the case. Thus my ""maybe"" answer."
676;This has always resulted in being turned down for the position I interviewed for.
677;
678;Only if it's something I would need accommodations for
679;I would not want it to prevent me from getting the job.
680;It's not relevant.
681;There's always the concern that someone else would get hired purely out of the convenience for the employer of not having to deal with a physical health issue
682;
683;I think it could lead to not being hired.
684;
685;Just one more thing to filter me out 
686;The interviewer might be uninformed as to the impact of my disability on my ability to do the job.
687;It would depend on the job requirements and expectations
688;im not gonna risk that
689;People like to associate mental health with drama, and might feel like you'd make the workplace more hostile.
690;depends if it is relevant to my job
691;
692;It would have bearing on the job
693;
694;Pretty obvious when you're on crutches, tends to raise questions!
695;
696;currently no reason to. 
697;In usual enterprises do not give importance to health or problems from the 'worker'. It is a big wall, still, unhapiness. 
698;If it would limit or prevent me from doing my job or interfere with work schedules.
699;
700;Doesn't seem appropriate at an interview.
701;A health issue would have a negative effect on getting the job.
702;Health benefits are expensive and few business hire someone they know will cost them a lot.
703;
704;maybe this physical health issue will not change the way I work
705;
706;
707;
708;I would bring it up if I am asked or if during the interview I think such issue may influence my performance.
709;
710;Immediate disqualification
711;I have a physical disability that is not visible. If I don't bring it up, it will make itself known down the line. Better to bring it up when I am in control of the situation, than to call in sick and surprise the employer. This also affect insurance policy, so keeping it hidden doesn't work out so well.
712;Because physical issues are visible
713;Because if they can't deal with it, then I don't want to work with them.
714;
715;If it will affect my work, or require that I be treated differently from others, the employer needs to know about it before hiring me.
716;Fear of not getting the job
717;There isn't a physical health issue that would affect the sort of work I do without stopping me working altogether.
718;It has nothing to do with my ability to perform my role.
719;I have back issues, neck issues and on occasion may need time off for treatment
720;I think it would lower my chances of getting the job and take away from all the things that I can bring to the job! 
721;Well of course the employer doesn't want to hire people with significant physical health issues, especially if it's the first issue which comes up. Iv'e had to fill in Afghanistan for my country as asking country would make it too easy to identify me. You shouldn't be asking such personal questions on an anonymous survey.
722;Unless the issue severely stops me from working, I think mentioning it would affect my chances. 
723;
724;It depends on the issue and how I feel like the employer is likely to respond.
725;If i felt it would negatively effect my chances of getting the position
726;Not unless it was relevant to my job, but I do not go after jobs where that could be and I do not really have any physical health issues. I would not bring up an intention to get pregnant either (which could be considered as such).
727;I would not feel it inappropriate
728;
729;I am privileged enough to know how to do prior research. I expect to find answers to my question in existing resources on the HR site.
730;If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.
731;
732;depends on the issue, afraid of presumptions
733;Would be concerned I wouldn't be considered for the position.
734;For example I might need a standing desk or special chair, that is considered more 'normal' than explaining your special needs for a mental health condition. 
735;If it would impact my performance.
736;It would really depend on the circumstances
737;During the interview process I wouldn't yet know details of the company's policy on this.
738;
740;It's relevant.
741;Would just depend on the relevance to the discussion.  I wouldn't bring it up unless necessary.
742;Yes if it would impact my work
743;Depends on the physical health issue and how severely it affects me. For example, I would talk about my carpal tunnel, because it affects my job performance and I need ergonomic keyboards and mice in order to not be in constant pain. I wouldn't bring up my polycystic ovarian syndrome (PCOS) because it does not affect my work performance.
744;
745;If I have a physical health issue, the new employer needs to be aware of it before hiring me.
746;
747;Depends on the employer, the mood and the flow of the conversation. Nothing is set in stone, conversations like these are fluid.
748;I expect to be discriminated against.
749;physical health is something that has no stigma attached. Although many places won't hire you, or look for ways to get rid of you if they can't get 100% productivity out of you.
750;I am concerned that it would count against me at interview stage.
751;If i felt it needed special accommodation that could restrict my ability to perform the job if assistance not provided.
752;As a middle-aged women coder, I feel I already have two strikes against me when I interview.
753;Unless the health issue relates specifically to my ability to do the job I would not feel a need to bring it up. 
754;I work in tech so physical issues, unless my hard is broken, doesn't matter.
755;Anything that would add complications or additional load on my potential employer seems to only have negative ramifications.
756;
757;It would depend on whether the issue would affect my needs in the workplace. If so, bring it up. If not, it's not necessary to bring up.
758;If I felt it was important, I wouldn't feel it was likely that there would be any negative effect from sharing this.
759;
760;
761;I guess it would depend on what type of physical issue it was and how often it may affect my work as far as absences for treatment, etc.
762;I don't feel that a physical disability should be a deciding factor in someone's potential employment.  
763;Don't want to be discriminated against
764;
765;If they made an offer and the issue would impact my work or scheduling. 
766;Depends on the context.
767;.
768;it would depend on how and/or if the issue would impact my ability to fulfill the role. i would also want to feel the employer out as best as possible before providing personal non-required information.
769;It shouldn't matter
770;There are many laws that protect applicants from discrimination based on physical ability so I wouldn't feel too concerned about bringing up a physical health issue in an interview.
771;Although it should be protected, not convinced it wouldn't harm my chances.
772;It could reduce my hire-ability, even though it may not as well, why take a chance?
773;Depends on the context, usually they have no need to know
774;they would hold it against you
775;
776;Because why do they need to know.
777;Not their place
778;Because it's an unfortunate part of who I am.
779;Should not be relevant to hiring deicition
780;It would depend on the physical health issue. To me, no one should be treated differently based on a health issue. But some employers might be turned off by that information.
781;Not sure if it would affect my work
782;
783;Potential discrimination
784;If the physical health issue would affect my job yes I would bring it up. Mental health issue I would not, I see the problem here, but I still wouldn't bring it up :/
785;depends what the issue is.
786;It would depend on the type of issue. A broken leg wouldn't be relevant.
787;Fear of no offer
788;
789;I'm not sure discussing weaknesses is what interviews are for!
790;Fear it would negatively bias myself
791;It could negatively influence my chances of being hired.
792;
793;
794;Not relevant
795;Fear of discrimination
796;Only if it affected my ability to do the job
798;Everybody's had a physical health issue at some point in their life.
799;I have chronic lower back pain due to a narrow disk.  I would have no problem telling my employer about this if I felt lifting would be a part of my job.
800;It would depend on the issue and the job.
801;Prefer to focus on benefits I bring. 
802;To test how supportive the environment will be.
803;Fear of not getting the job.
804;Depends on relevance to work 
805;
806;It would negatively affect my chances of gaining employment
807;I would not want a possibly unrelated physical impairment to interfere with the prospect of being hired
809; Don't trust potential employers to not judge.
810;If it was something to do with a workspace like requiring a standing desk etc 
812;
813;Private 
814;Typically more common and, in my eyes, physical health issues do not have a stigma attached to them like many mental health issues. Any kind of mental health issue tends to leave a lot of people ending up with some sort of 'label'.
815;
816;It's not relevant to my ability to code. I'm also protected by EU law on disability.
817;It would limit potential for employment
818;Depends on the job and organisation
819;Unsure how they would react. Even good people have unconcious bias..
820;"Because I'd be automatically sorted out. Let's face it folks: Whether its a ""physical"" or a ""mental"" impairment, reality and the ""would be nice"" situation / laws are two complete different things."
821;Because it's illegal for them to ask and there is no obligation for me to offer the information.
822;I need an ergonomic keyboard (preferably my own) this is a thing I'd absolutely mention during the interview process. I'd be a bit more reticent to discuss my back pain
824;
825;
826;I don't want it to affect me getting the job.
827;Depending on the nature of the health issue, I may feel uncomfortable sharing it with someone I'm not close to.
828;I would bring it up if it affected my ability to do the job. I wouldn't bring it up if it felt irrelevant and wouldn't affect my ability to do the job.
829;Afraid it would cost me the job.
830;
831;From the interviewing advice I've read, health issues should be brought up at the offer stage, not during the interview. If I had a good rapport with the interviewer, I might bring it up in the interview. Otherwise, I wouldn't mention it until offered the job.
832;If I had a health issue and want coverage, it's important I be up front about it to ensure I'm eligible for such coverage. 
833;Because it's important.
834;
835;Yes, If relevant to the duties of the position. Otherwise, not necessary. 
836;I would not want to preclude myself from employment based on something that was irrelevant to my abilities to complete my job.  If potentially having a lot of doctor's appointments is the only drawback for my employer, they shouldn't weigh another application as stronger based on that.
837;To avoid being potentially disqualified due to that fact.
838;Often it's important to being able to accomplish the job... so yes, it would need to be discussed.
839;
840;It depends how obvious it is (visually) and how it would affect my work
841;If I want the job, I should be at my full health, so. It's cultural thing here too.
842;Could impact the outcome of the interview.
843;If accomodations are needed, it's required by law to do so.
844;Potentially affects my capabilities on the job.
845;Worried it may affect my chances of getting the job.
846;Talking about health issues has always been responded to as though I'm asking for personal accommodation, even when I'm just trying to raise awareness for something that's widespread. Bringing it up in an interview would be putting the cart before the horse.
847;
848;If it wasn't immediately apparent and/or it was embarassing to talk about with someone who is not family or a close friend, I wouldn't tell them.
849;If it is going to be something that Im dealing with at the time or something that is noticeable then yes. I feel that most employers would be more accepting of a physical health issue than a mental health issue. 
850;
851;I have an eye condition that will require medical leave at some yet to be determined future point.
852;Depends on relevance to performance
853;It could be seen as a weakness, or the potential employer could see it as a person trying to take advantage of their healthcare plan.
854;They might not be willing to give me a shot. That's how I feel.
855;if it affected my ablility to do my work
856;The competition is to fierce to reveal any weaknesses or deficits that might effect their decision to hire. But I WOULD reveal if I thought it would affect my performance.
857;what if it was the one difference between me and the competition 
858;
859;It would become obvious later if it didn't come up during the interview.
860;Some physical issues can be private too.
861;"It depends on the physical health issue. There are too many companies in tech that worship the ""dev rock star"" stereotype where long hours and the sacrifice of work balance is held in higher regard. They will work devs to the bone if we allow them too. Any resistance to working too many hours is labeled as ""rebellion"". I've worked jobs where I had to strategically plan my days off because I couldn't afford to lose all my PTOs and as a result, have forced myself to go to work even while having asthma or being sick. Basically, if I'm not half dead, then I can make it to work because I need to ""save those days for when I really need it""."
862;I feel it's best to be candid in an interview, especially in regards to how the employer might be able to accommodate a physical (or mental) health issue.
863;I would assume that would put me lower on the list for getting the job
864;I feel like it would effect my chances of getting a job. It's also none of their business unless it effects my performance.
865;
866;
867;Physical health issues are not stigmatized.
868;My physical health is a personal issue.  I would only discuss this with people after I have established that I can trust them.
869;I've seen people with physical health issues previously accommodated for
870;
871;I don't know
872;Instead of concentrating on capabilities I believe they would have their mind go off on accommodations that would have to be made for me. It might even cloud any other thoughts on points of discussion. 
873;Depends on their character.
874;
875;Depends, if it affects the productivity, no
876;Privacy 
878;I don't feel that it is their business and although they should not take it into consideration when hiring, let's be honest, they do.
880;
881;Id be afraid discussing any health issue at an interview would be used against me.
882;I've actually had to do this for an employer who required a drug test (I was on a prescription from a doctor for a medical condition and would have tested positive for steroids), so I disclosed up front so there weren't any surprises. In general, however, I wouldn't disclose unless it was necessary.
883;
884;employer have incentives (to pay less taxes) to hire ppl w/ disabilities in france
885;I would bring it up only if I would need accommodations in order to do my job.
886;"because, fuck them, if they think it's an issue. It's their problem; not mine."
888;There's little stigma around a physical health issue, and it could even become a personal talking point where it'd make a connection with someone.
889;I believe in total transparency. If it's not appreciated, then I know the potential employer is not for me.
890;Idk
891;Depends on whether it might hinder or modify the way I work at the employer 
892;Seems like it would work against me
893;"It's simple: They need to know who they're hiring.
"
894;
895;honesty
896;I decide this based on my feelings towards my counterpart. If I feel that the interviewer is a kind human beeing I'll bring it up. Otherwise I don't.
897;For short term and temporary contracts, there's no way you would get the job.
898;
899;I would not interview for a position where I believe my physical health may negatively impact my productivity.
900;If it's not a disability accommodation requirement, they don't need to know.
901;bias. a lack of understanding.
902;Ensuring they have support for repetitive strain injury coverage, for example.
903;I feel they might be biased
904;I would bring it up if I required special equipment to do my job, or if I felt the need to explain how I can do my job despite the physical issue.
905;Because I don't trust insurance companies.
906;You don't want to give a potential employer a reason not to hire you.
907;If it directly impacted my ability to work, I would bring it up.
908;
909;Fear it would impact negatively on getting the position.
910;Trying to get a job
911;It's illegal for that to effect a job offer. 
912;
913;I would fear that it would affect my chances of getting the job.
914;I don't want them to think I can't work
915;I'd need to know more about their own personal characteristics first.
916;Only if relevant and would need accommodation.
917;
918;Dependant on how comfortable I felt speaking the interviewer(s), dependant if they have mentioned there is an avenue/approach they embrace to address physical health issues.
919;If I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.
921;if it were irrelevant to the job, I wouldn't
922;Under UK law it's none of their business at that stage.
923;I'm an honest person.
924;I think it's important in interviews to lay out exactly what you want on the table. If I had a health issue that needed accommodating, I'd want to ensure that was done.
925;Because physical health is an accepted illness. Mental illness is considered to be an opt-out at times. 
926;Depends in the health issue
927;Worried about potential discrimination associated with taking time off work
928;Might effect work, and it seems accepted
929;
930;there's no stigma attached to physical health, it's an ailment.
931;I have a long-term chronic/constant headache and, well, it impedes my work from time to time. They need to be aware/okay with that.
932;It seems like it would generally be useless information but may lend towards casual conversation. Like ice breaking.
933;I think it would depend on the job requirements and the limitations my physical health would have on carrying out my duties.
934;I am not sure it would hinder my place in the job
935;I would likely perceive that as irrelevant to the interview process.
936;
937;
938;Most likely not, if I felt that it would harm my chances of getting a job.
939;I would only bring it up if it affected my ability to do my job
940;Not impacting my performance
941;
942;Wouldn't want to risk job
943;Some physical health has stigma attached, other does not.
944;If it would require minor accommodations that would not be perceived as overly onerous.
945;
947;
948;Bias happens. I wouldn't want it to be a factor. However, I'm overweight, and I know it's been a factor in some interviews. Can't hide that. Even though that is the only thing I have wrong with me.
949;Depends, if it affected the job then yes I would talk about it. 
950;Not comfortable speaking about anything health related at work.
951;
952;If it affected my ability to perform the job or get/to from work. 
953;I would rather have our conversation and my qualifications be the focus of an interview.
954;
955;If it affect my job performance they should know
956;This is a personal matter and I don't feel that I have to mention it if it does not impact my ability to work. 
957;Would lower chances of getting the job
958;Does not seem relevant or helpful to bring up in interview.
959;Other than perhaps asking about benefits that I would need/want it's not really their business unless it impacts my daily work.
960;It isn't something they should use to determine if I'm a good candidate for the job
961;If my potential employer needs to know (that it may affect my work) I feel its best to be honest so they know what they are getting if I joined their company
962;If I thought it would impact my chances at getting a job wouldn't bring it up unless asked.
963;It seems like it would influence decisionmaking, even subconsciously.
964;I feel physical injuries are more acceptable now.
965;Physical stuff happens so there isn't a stigma attached to a physical health issue like there is with a mental health issue.
966;would be afraid not to put the best foot forward
967;fear of losing out
968;My employer would need to be aware of any limitations that could reasonably affect my work performance
969;It is good to be open
970;Discrimination and not hired
971;Shouldn't generally be relevant
972;Fear it would disadvantage the result
973;Nobody's business but my own.
974;Might prejudice hiring decision
975;I don't feel like it is any of their business if it doesn't impact my ability to work.
976;The employer needs to be aware of how to treat me equally and with respect. If they don't know my (theoretical) condition, they can't be expected to uphold any kind of legal requirements, or provide any help or support.
977;
978;Risk not getting position
979;It depends on if the issue would effect my performance for the job they are hiring for.
980;I feel like it would make a negative impression during the interview or make for an awkward dynamic. At offer time, it would be acceptable.
981;
982;Might affect if I get the job or not
983;
984;I'm a diabetic.
985;
986;Would not want to risk the potential negative outcomes
987;Doesn't concern them
988;
989;I've been struggling with depression for a good six years of my life - maybe longer. But it has taught me so much about myself, and given me insight into life thay I believe other people may never have the chance to get. It also teaches you about yourself, and forces you to become a better person, and never give up.
990;I would hope that it would let me know whether I would fit in at this employer based off of their reaction.
991;Because it's important for them to know who they are hiring and for me to establish my needs early.
992;It would depend upon if it would have any direct or indirect bearing on my position. If it was applicable, I would bring it up. If not, I'd not bring it up unless prompted.
993;
994;
995;
996;If the job required lifting
997;While I don't think a physical health issue would define me as a person, it is definitely something I would want to speak about with them as early as possible so I can see how they react.
998;I should be honest because if in anytime I find any issues related to this physical health issue, I need to be clear about it right from the beginning.
999;Its important to make it clear, sometimes you may have limitations which your employer must be aware. No surprises for both sides
1000;Correctness and openness the base for a healthy wirk relationship
1001;
1002;Risk not getting the job.
1003;
1004;I would not be comfortable appearing in any way vulnerable or give the employer a chance to exercise bias against me
1005;I would because it's not taboo or controversial.
1006;
1007;Although illegal, I wouldn't want a physical health issue to weigh on someones mind when they make the decision whether or not to hire me.
1008;Why not? Sometimes even not-work connected topics come up in interviews
1009;If it's not apparent, they don't need to know. 
1010;I would mention it if and only if it had a direct bearing on my ability to navigate the work environment (if I needed more time to walk from place to place, for example).
1011;
1012;
1013;
1014;If it needs accommodation then I feel you should be upfront and honest
1015;I would bring it up if I found it relevant for my ability to do my job. Otherwise I would not.
1016;
1017;it might impact the services they needed to provide
1018;
1019;There are some things that are protected by law in the US, that I couldn't ask about. If they volunteered the information, I would discuss it.
1020;Fear that it would be used as a reason not to hire me
1021;That shouldn't be part of a hiring decision.
1022;My attitude is that it comes with the package and doesn't have to be mentioned. My skills are still my skills. But I can see situations where I could feel very open and mention it nonetheless (if I can tell that the employer feels the same)
1023;If the issue would significantly impact my work, I would bring it up. If not, I wouldn't.
1024;
1025;It would be uncomfortable
1026;Because it is important
1027;It may affect my work, and by disclosing this, I'm protected by disability laws.
1028;
1029;It would depend on the nature of the physical health issue and the job role. Relevance is probably the most important deciding factor.
1030;It would have no bearing on my ability to do the job
1031;Not relevant to the interview process.
1032;Many physical health issues are obvious and not addressing them is therefore obvious. 
1033;It's personal to me and none of their business.
1034;Could be seen as a potential problem in the future 
1035;"I tend to want to avoid being ""personal"" during interviews. If I felt a physical health problem had no relevance to work, I wouldn't want to discuss it. "
1036;Because it might mean I don't get the job. I have in the last if I knew I had time off coming up or it meant I needed special treatment 
1037;"there are ways to ""legally"" discriminate. it doesn't take much effort to ""legally"" block a new hire for illegal reasons."
1038;depending on the issue it might lower chances of employment
1039;
1040;
1041;Better to disclose something like that up front in case it impacts work.
1042;I want to be seen as an asset, not a burden 
1043;Dramatically lower chance of success.
1044;
1045;I have diabetes and it's a natural thing to mention.
1046;I'd need to ensure that I could manage my back pain on a long term basis with a new employer without any issue in doing so.
1047;
1048;They might disregard me due to already having cause to take sick days off work
1049;If it would have an impact on the job I could do. 
1050;for his selfcare in the environment 
1051;It should not affect the outcome. 
1052;I don't think it's relevant.
1053;it depends how much I feel I trust them
1054;There is no benefit and it's a risk.
1055;I would rather try to get the job first and then raise it if required later
1056;Worried about it interfering with day to day tasks or limiting opprotunities
1057;
1058;Embarrassed
1059;They could hire someone without that issue
1060;
1061;physical health issues are easier for other people to see, depression is easy for others to dismiss
1062;I feel they would be likely to weigh it against me in considering me for the job, whether intentionally/consciously or not.
1063;
1064;It's never come up.
1065;
1066;Worried they wouldn't hire me due to potential cost and work time lost.
1067;I wouldn't expect them to hire me if I did.
1068;
1069;Knowledge about this will make it easier to know if the job is right for me and if I'll be able to handle it.
1070;Not an issue.
1071;Unless it's a physical handicap, I don't want the problem to affect their judgement.
1072;Potentially viewed as disqualifying, even if it's not
1073;Fear of not getting the job 
1074;
1075;If it didn't affect my work performance it would be none of their concern
1076;Well a physical issue is harder to hide than a mental condition
1077;I would feel dishonest if I didn't share known physical issue
1078;bringing it up would be a bad option, places me in a position where I'm less likely to get the job.
1079;"Interviews are a process of elimination. I don't want to give the employer a reason to eliminate me.
If the physical issue were something with clear protections under the law (eg vision impairment, mobility issues), then I would disclose."
1080;It may not be relevant to the job.
1081;
1082;It might make me look like a liability 
1083;If it does not interfere with work, it is none of their business.
1084;I never had a physical health issue.
1085;"It depends on what kind of physical health issue it was, and what the job was. As an example, I do not feel as if Carpal Tunnel would be necessary to bring up if I was not going to be doing repetitive tasks all day. I would probably mention it upon offer, and allow an opportunity for reconsideration.

I would also not mention it if I wasn't interested in the position."
1086;The job market is too competitive.
1087;depends on whether the health issue would actually affect my job or impede performance
1088;I wouldn't want to work someplace where it would be an issue.
1089;If the job required physical work, I would worry that bringing up a physical health issue might have negative consequences.
1090;I wouldn't want it to affect my chances of getting the job.
1091;I have multiple chronic illnesses and have been advised by lawyers to never bring them up in interview situations as discrimination is difficult to prove. 
1092;Fear of discrimination
1093;If it was obvious and was going to effect my workplace
1094;Unless it would affect my ability to perform my duties my health is of no relevance to my employer.
1095;I'd want to be open and transparent.
1096;None of their business 
1097;Physical issues are not treated as taboo — creative employers hire your mind, not your physical ability. 
1098;only if it impacts work
1099;
1100;doesnt carry the same stigma
1101;I don't know
1102;I would bring up physical issues that impact work ability, eg carpal tunnel
1103;"it's already a contentious situation to simply ask for one day off.  i'm not comfortable asking for a sick day (i'll work from home instead).  and i would think i'd be ""throwing"" the interview to ask for a concession at that point in the working relationship, as if it would ensure i would not be called back."
1104;
1105;I would be worried I would not get the job. I might also feel embarassed.
1106;If it prevents me from performing in certain aspects of the job, I think the interviewer needs to know.
1107;Because its apparent and more accepted than a mental issue 
1108;"It depends if it's obvious and how it would affect my work. If I'm doing an ""office job"", my ability to walk wouldn't be that critical."
1109;
1110;I just think it's still frowned upon. Chances of getting a job after mentioning such a thing in an interview would be slim in my opinion.
1111;It's only fair to fully disclose and an employer cannot discriminate against physical health.
1112;
1113;It should be known if they are going to hire you
1114;I feel relatively protected, I think that nothing really bad could happen as far as consequences for that.
1115;It would probably be better in the long run.
1116;
1117;Prejudice
1118;"Don't want to get rejected. But want to be fully open, to build trust and don't start a job with any ""secrets"""
1119;AFAIK, during an interview, it's recommended to not discuss things that may impair one's availability, or might cause excessive drain on insurance benefits. So much so that it might cause the employer to choose another candidate.
1120;
1121;Why? It should make no difference.
1122;Because I feel it would be a big negative.
1123;I wouldn't be interested in bringing up a physical health issue unless it was pertinent and affected my ability to work, healthcare coverage, or schedule. 
1124;I would if I thought it would effect my job performance or if I thought the hiring party might have concerns.
1125;Afraid of seeming weak.
1126;Concerned would not get the job
1127;Fear of implicit bias against me.
1128;I would be worried about not getting hired.
1129;I think it would cause discrimination and get me passed for a job
1130;To check that support/equipment could be provided.
1131;Most people seem to understand physical health issues are outside of our control. 
1132;Depends whether it would be relevant to my performance or cause significant outages. 
1133;Fear and stigma associated with it.
1134;
1135;Well I do IT so a physical health issue would have very little bearing on it 
1136;The physical health issue I would most have reason to discuss is asthma, and it seems like asking for accommodations later if necessary (eg asking for perfumes/scents to be banned) would likely be okay.  Additionally giving information that employers aren't allowed to use for employment decisions like health status before an offer might be made is looking for trouble.  People use information they have, consciously or not.
1137;None of their business, especially if it has no impact on my ability to do the work.
1138;
1139;
1140;It depends on what the job requirements are. For instance, long hours or heavy lifting.
1141;if it does not influence my work, why should i bring it up
1142;Not sure 
1143;
1144;Not everyone is open-minded and regardless of the law, people attach a stigma to conditions that affect the mind as I think they are concerned about things they cannot see.
1145;
1146;Comfort discussing personal issues with someone who I've presumably only recently met.
1147;Shouldn't come up.  If it does, then it might bias potential employer against me.
1148;
1149;if wasn't current, feel that it isn't relevant
1150;It would depend on how I perceived my chances of getting an offer/second interview during that interview. If I really wanted the position, and thought that a physical health issue might deter the employer, I may choose to not bring it up. If I am asked, outright, though, I would not lie.
1151;Fear of negative repercussions
1152;As a type 1 diabetic I try to advocate for equal treatment and would not avoid bringing up a physical health issue
1153;Employer should know about physical health issues that could impact quality of work somehow.
1154;
1155;Seems out of place...certainly wouldn't want interviewer to ask me.
1156;If it impacted my ability to be physically at work or if there were accessibility issues at the office.
1157;Less likely to get the job
1158;Would likely negatively affect selection status.
1159;It would be important that both I and my employer understand the requirements demanded by physical health issues.
1160;The field is already too competitive to disadvantage myself. Plus, it's none of their business as long as it doesn't seriously affect my work.
1161;I am privileged to be choosy with employment and would not want to work where bringing up such issues is problematic.
1162;
1163;Retaliation
1164;I have a (small) physical disability which sometimes affects my work. I guess it's an effective litmus test of the prospective employer's culture.
1165;They might think it will negatively affect my job performance and be less likely to hire me or hire me with a good salary.
1166;
1167;
1168;I believe it would negatively influence their decision on whether to hire me or not
1169;Depends on what the issue was and whether it would affect the kind of work I could do.
1170;
1171;Would depend on physical health issue and how it might affect things.
1173;
1174;
1175;The physical health issue itself, no, because alone it isn't relevant.  The work I had to do to overcome the issue, yes.
1176;I have type 1 diabetes and it will affect my everyday life forever
1177;Fear of negative consequences
1178;
1179;
1180;Depending  on work impact 
1181;If I feel comfortable enough with the interviewer. 
1182;I would not want anything to impact my qualifications or the perception of them
1183;Non of his/her business
1184;
1185;Depends on what it is and how embarrassing it is
1186;
1187;It depends on the issues and the type of job.
1188;Don't see it as a problem for me
1189;I feel like it would not be immediately associated with my productivity or ability to perform.
1190;Scared it would separate me from other interviewees
1191;Physical health for the most part doesn't get in the way of my job directly.
1192;Perceived poorly
1193;There's less stigma. People hear about a physical condition and don't think it's your fault, but when they hear about a mental health condition they think you're dangerous, less trustworthy, and fundamentally wrong somehow.
1194;Depends on how personal and to what extent it would affect my position
1195;I would be worried it would be seen as a pity play or distraction from my qualifications.
1196;If it impacted my work or would require special accommodations, I would mention it.
1197;
1198;Depends on the issue. Maybe you would need accommodations for a wheelchair.
1199;I wouldn't want it to be the reason I was not hired.
1200;
1201;Depends what it was and how it affected my ability to do the job, no change in ability, no discussion.
1202;might affect chances of getting the job
1203;
1204;Bit knowing the environment if the new employer would make me nervous to do so
1205;I want to set expectations up front
1206;Possibly wouldn't receive the job because of too much baggage or they make think I am a complainer 
1207;Because it might affect my ability to get to the office in the future.
1208;
1209;In case it affected how well they though I could do the job/reliability
1210;Not relavent to my job
1211;I'm hesitant to give a potential employer any information that would disqualify me from the position -- legally protected or otherwise. They can always employ parallel construction based on other negative factors to reinforce a biased decision, so giving them extra ammo is a poor strategy for securing a paycheck.
1212;If the physical health issue is chronic, I would be nervous that it would make them more likely to reject the application.
1213;Less stigma
1214;would only bring it up, after the job offer -- and only asking for ergonomic keyboard/chair and better monitor(s). No need to bring it up if they don't offer the job, right?
1215;Wold only bring it up if it would affect doing my job.
1216;Can damage my opportunity to ge in the job
1217;it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.
1218;"I believe disclosing anything about physical health will stop the interviewing process; I've lost interviews before for looking unwell."
1219;Fear of not getting the job
1220;
1221;If that physical heath issue were not germane to the work, I would not bring it up.
1222;
1223;It's better to be open at interviews about all health issues as it speaks to the employer's attitudes as much as anything. 
1224;They don't need to know unless/until it affects my work 
1225;I would be concerned that there would be negative bias, even if unintentional.
1226;Unless it would directly effect my performance in the position, the condition would not be relevant.
1227;I don't have anything serious enough to chance negatively affecting the outcome.
1228;That would be career suicide
1229;
1230;Not being sure about privacy.
1231;If it was going to impact my ability to perform my job, I would feel obligated to let them know.
1232;
1233;The job I go for require a lot of travel, and a physical health issue might impact their belief in my ability to complete my job.
1234;I feel dishonest if I do not disclose things up-front
1235;Depends on the ability to do the job. If it has no bearing, then I wouldn't discuss it. If I needed accommodations to do the job, I may.
1236;I've never had a physical health issue before, so I don't know if I would.
1237;
1238;It depends on what the issue was, if it was chronic or acute, etc. (if acute, probably wouldn't even mention it. Then again, if chronic, might be concerned that it would bias against them hiring me.)
1239;
1240;I would have to read the room, it would  depend on how much i feel an employer expects of me.
1241;Depends on how acute the issue was
1242;Full disclosure
1243;It's non of their business. 
1244;Unsure of how they woud react.
1245;
1246;I feel that an interview is not enough time for an employer to make a rational judgement about whether or not the candidate can still do the job they're asking. I would not disclose my mental health condition to employers during an interview but perhaps prior to accepting an offering.
