;Why or why not?.1
586;Depends on likely impact on work performance.
587;
588;Adds nothing of value to the interview
589;to give them option to choose or reject me, as a whole 
590;
591;My mental health is currently well controlled so no one would know if I didn't tell them.
592;
593;It's good to know about potential hurdles ahead of time.
594;Afraid it would affect outcome
595;Depends on how much social stigma it has. Saying you have ADD is easier thsn, say, depression
596;
597;I believe it would prevent me from getting the job
598;"It's a rather private manner, which one might not wish to share with everyone if they are in a position where you may not be a part of their team any way.

If an interview succeeds should in most cases not be based on any lingering mental state, and as such one would open up and become vulnerable in a negative way."
599;
600;
601;
602;Depends on wether I feel comfortable enough during the interview or when they bring it up in a non-threatening way.
603;Important to bring them up so that all parties are aware.  Hiding a Mental Health issue would never end well for either party.  All conversation should be open and all cards on the table.
604;no need to do so
605;Same as above
606;Same thing
607;It would be seen as a roadblock to productivity and communication.
608;
609;Any perceived issue could affect hirability, anti-discrimination policy or no. 
610;If I feel it won't impact my job, I won't bring it up.
611;
612;
613;
614;
615;I will bring up because it is the main process of body
616;I am at the point in my life where my mental health needs to be part of the conversation. If a company cannot even start to have that conversation with me, then how can I possibly be confident that they will be able to support me when I need to address mental health issues that come up.
617;I *definitely* would be afraid I'd be d/q'd from the job for mentioning this.
618;
619;Same reason as physical. 
620;"Everyone's got shit to deal with. I'm there to interview technically and figure out if it'd be a good fit. I'll ask questions and see what their stance is.

I wouldn't tell someone one a first date that I'm depressed or have bad knees, plenty of other more positive and more interesting topics to talk about."
621;
622;I would feel immediately stigmatized and that my candidacy would be dismissed.
623;Nonstarter
624;Fear of stigma and being considered incompetent 
625;
626;
627;Would be worried about negative stereotypes/affecting the interviewers decision.
628;i would be afraid of bias in their decision making
629;"I would definitely think it would affect my chances of getting that job. I feel like there is a good chance it would not be viewed as ""professional"" to bring it up -- I have been penalized in interviews for bringing up semi-personal information before (was going through the end of a 5+ year relationship and in the process of moving. Disclosed that to a potential employer, found out from the recruiter that it was not viewed as ""professional."")"
630;
631;There's not enough knowledge out there. A physical health problem seems like a fixed risk that can be accommodated. Mental health I'd invisible, therefor an unknown risk.
632;
633;It would depend on whether the issue was relevant to the work being performed and if it will negatively effect it.
634;It depends on the type and severity of the issue
635;more stigma
636;I never surprise my boss
637;Afraid of prejudice, but feel the need to be honest if it limits my abilities.
638;
639;It might impact me negatively.
640;honesty
641;Stigma
642;
643;People have so much stigma and I don't want to find out what kind, I want to get hired
644;
645;
646;
647;
648;
649;Not if I wanted to get hired!
650;because it would kill my chances at the job
651;Same
652;Again, I wouldn't want mental health issues to affect hiring decisions with respect to me.
653;
654;I feel like mental health issues (at least in my state of Pennsylvania) have little or poorly administered protection in the workplace.
655;These would be more likely to directly effect my work I think
656;Despite the legal protections, mental health in my area still suffers a significant amount stigma.
657;As a matter of privacy.
658;I don't want to add any cause for bias until the hiring has been decided one way or another.
659;
660;
661;I have done before. I have no issue talking about it.
662;
663;It may unconsciously affect their decision.
664;Getting the job would be more important in the short term#
665;Same as physical: I would want a potential employer to understand the manifestations of my mental health issues up front to prevent misunderstandings.
666;Because you wouldn't get hired or were docked in pay
667;Wouldn't want to jeopardize my chances. 
668;They don't know me well enough to understand the full context behind any issues. 
669;same reason as above
670;I don't want it to reflect negatively on my ability to carry out my responsibilities
671;I think they would be less likely to make an offer.
672;To ensure that my mental health issues would be accomodated, but it would depend on what the mental health issues I had were
673;"I'm pretty sure that would eliminate me as a candidate. or it would trigger a bias in even the most well intentioned hiring team. it would make them suspicious of me and my technical abilities. finally, there is an ugly history of conflating mental illness with hysteria, or being ""too emotional"", I would be afraid that this would trigger certain stereotypes to surface "
674;
675;I've directly witnessed people terminated for issues related to mental health issues before. Unless required by law or an ethical issue (like a pre-interview agreement), I wouldn't disclose any mental issues. I realize that this is not the best point of view, and it's why things like OSMI are so important.
676;I believe it would result in not being hired.
677;
678;I wouldn't want stigma or prescribed ideas of what I can/can't do to affect my chances of getting hired.
679;I feel like that would negatively affect my employment opportunities.
680;It's not relevant.
681;Leading with a mental health issue seems like it is immediately going to be seen as far more severe, problematic, etc.
682;Fear it would be held against me.
683;I think it would definitely lead to not being hired.
684;
685;Just one more thing to filter me out
686;There is a stigma surrounding mental health issues.  I must trust someone before sharing that info.
687;It would depend on the job expectations, culture, and expectations.
688;not gonna risk that !
689;
690;because I can't control their reaction and unlike physical disorders which are better understood metal disorders are often less understood and judged more 
691;
692;Same reason as physical
693;
694;I have a difficult enough time with my physical disabilities. Opening up my mental health issues at that time would serve no purpose
695;
696;currently no reason to
697;Because it can affect the business, me and him if i am in bad mode.
698;If my prospective job was high stress or could trigger anxiety
699;
700;Wouldn't get the job.
701;It would be a negative in the hiring process.
702;I believe it would severely hinder your chances of getting a job
703;
704;Yes, this shit can crack my workflow, you know? 
705;
706;
707;
708;I would bring it up if during the interview I think such issue may influence my performance.
709;
710;Immediate dismissal
711;I probably would, if it had the same effect as my disability. If not, I can't say how I would act.
712;Because It makes me vulnerable
713;I would only bring it up if I felt it was going to negatively impact my work. If I knew it was, then it would only be fair to share it up front.
714;
715;Depends on the mental health issue and how I feel about the interviewer.  But just like a physical issue, if it's going to affect my employment, the employer should know about it up front. 
716;Fear of not getting the job
717;It depends on how the interview is going, and how the condition may/may not affect the role.
718;Again, it has nothing to do with the ability to perform my role. I am not my mental illness.
719;Depression, burn out and related issues often need attention. I wouldn't work for someone who didn't respect that.
720;Same thing, lower chances of getting the job and fear that they would zone in on that rather than all the awesomeness I can bring 
721;Well of course the employer doesn't want to hire people with significant physical health issues, especially if it's the first issue which comes up. On the other hand I would be comfortable putting in specific conditions for hours (time or amount) which I require for my own mental health. I'm looking for employment, not a psychological counsellor when I see work.
722;I do not think that they would understand, and it would affect their decision. 
723;
724;I feel like they'd not hire me because of it. They'd come up with some BS excuse but I'd suspect it'd be because of the mental health issue.
725;I feel like it would prevent my future employment
726;To avoid stigma.
727;Not sure how I'd feel about. I haven't had one
728;
729;
730;If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.
731;
732;more personal issue, afraid of looking like an excuse (see: why don't you just smile more?)
733;Would be concerned I wouldn't be considered for the position.
734;It would be considered strange. I am already a minority, I don't need more negative things counted against me in an interview. 
735;I am bi-polar. For many people, their only understanding of bi-polar is the mass shooter on the nightly news. That is so far from the reality of most bi-polar people that it's like saying because you drive a car you must be a drunk driver.
736;Same as before, it would really depend on the circumstances.
737;
738;
740;It's also relevant
741;Would just depend on the relevance to the discussion.  I wouldn't bring it up unless necessary.
742;If it meant that I needed a flex schedule or similar accomodation
743;I probably wouldn't, depending on what the hypothetical mental health issue is.
744;Feel like they would potentially not hire because of mental health issues
745;It would depend on the type of MH iddue.
746;might not get the job
747;depends on the person
748;I would be discriminated against.
749;Employers look for ways to disqualify you. And even in our lovely web industry, we don not give one shit about employees beyond what we can extract from them.
750;I'm almost certain it'd count against me at interview stage.
751;trust - if I trusted the employer and needed their help I would bring it up. 
752;Same as for physical health, but mental health has more stigma attached to it.
753;There is no doubt in my mind that mental health issues are viewed negatively by those looking to hire in a competitive industry. 
754;I don't have OCD but I'm little obsessive with things and I'm pretty open about it.
755;I don't trust my employer with that information.
756;Na
757;Same reasons as physical
758;I have personally experienced negative treatment after disclosing mental illness.  I want to avoid doing so ever again.
759;
760;
761;Mental health feels more subjective in some cases despite potentially having a diagnosis and could be viewed as detrimental to culture and performance if someone is say clinically depressed or has an anxiety disorder. Also it feels harder to explain potential absence due to a mental disorder.
762;Disclosing mental illness up front is a good way to know an employer's stance or attitude towards mental illness and would help me decide if employment at that business would be worth it for me
763;Do not want to be discriminated against
764;
765;If they made an offer and the issue would impact them. 
766;I think it would depend on the mental health issue and how I felt it would impact the interview.
767;Mental issues are harder to be discussed with anyone.
768;see above — in this instance, i believe it would be perceived negatively.
769;It shouldn't matter
770;I feel like it would hurt my chances of getting the job. I'm not aware of any laws that protect applicants from discrimination based on mental health as there are with physical health.
771;Although should be protected, not convinced it wouldn't harm my chances.
772;See above note about physical discussion.
773;Again, they have no need to know.
774;They would hold it against you
775;
776;Because why do they need to know.
777;Not topical to hiring
778;Because it's an unfortunate part of who I am.
779;Would not want to bring up anything like this as it could negatively influence hiring decision
780;"There's a still very prominent stigma against mental health and that anyone with a mental illness is ""crazy."" Some people would brush it off and understand that it's just like having asthma—an illness that we have to take medication for and we can live normal lives with it. But some don't understand that."
781;Depends on if it would affect my work
782;
783;Potential discrimination
784;The stigma attached to mental health is still to great, its better, but not there yet IMHO.
785;Depends on the type of mental disorder.
786;I haven't been diagnosed with a mental health issue, but if I were, I think I would only bring it up to people I trusted. Potential employers wouldn't fall into that category.
787;No offer
788;
789;Same answer as above: why on earth would you discuss a weakness?
790;Fear it would negatively bias me
791;It could negatively influence my chances of being hired.
792;
793;
794;Not relevant to my skills
795;Fear of discrimination
796;Physical is more obvious
798;Don't want to be flagged as crazy.
799;I feel like employers are not as understanding of prospective employees who might admit to battling bouts of depression or anxiety.
800;It's private, being treated successfully, and would eliminate the chance of getting the job.
801;Prefer to focus on benefits I bring. 
802;To test how supportive the environment will be.
803;Fear of not getting the job
804;Too personal 
805;
806;It is impossible to talk about mental health issues with people you don't know and trust. You don't know how they will react and in my experience there is never any positive or favourable reaction to discussing mental health issues
807;Would not want to be the reason I did not receive the job
809;Don't trust them not to judge and deny the job.
810;Because I don't think they would hire me then 
812;
813;Private
814;I'd be concerned that if I mentioned my generalised anxiety issues it may lead them to believe that I am not a confident worker (which I almost certainly am). Basically - I'd fear they wouldn't properly understand! A lot of people are incredibly ignorant to anxiety and just end up telling you 'not to worry' about parts of your day to day that may make one feel anxious etc.
815;
816;Because of the stigma around my ability to do my job, cope, etc.
817;It would limit potential for employment - why would they hire someone with mental health issues over a healthy person? It's like being on a football team - would they hire someone injured or someone ready to jump in and play?
818;Hard to say. Probably as would jeapodise job
819;Depends how empathetic the interviewer was. And how certain a job offer already is. Might cause bias unintentionally if raised to early
820;If I was going back, even just part-time, to fulltime employment, I'd want to make sure that at least my minimum requirements are met (eg. no open-plan office and similar nasties). Expecting anything more is .. naive.
821;See above.
822;Fear of bias/negative impact on prospects.
824;
825;
826;Same reason as above
827;Depending on the nature of the health issue, I may feel uncomfortable sharing it with someone I'm not close to.
828;I would bring it up if it affected my ability to do the job. I wouldn't bring it up if it felt irrelevant and wouldn't affect my ability to do the job.
829;Afraid it would cost me the job.
830;
831;Same answer as for physical health issues.
832;Depended on the issue and the employer. 
833;Not sure.
834;to get support
835;Less likely, simply because the general perception and knowledge about mental illnesses is less widely understood. For instance, Adult ADD might be simple to explain, whereas Bipolar II would be a longer discussion and may be avoided in an interview.
836;The same as above.  I would not want my application to be viewed in any poorer light compared to my peers.
837;To avoid being disqualified due to that fact.
838;Still such a stigma there... it's important though... tough call
839;
840;Because it is not visible and an employer would look on it negatively. 
841;same reason
842;Would alter the outcome of the interview.
843;I don't believe that it would impact the interview anyway positive, but could have very negative impacts.
844;Potentially affects my capabilities on the job.
845;Worried it would affect my chances of getting the job.
846;Same reason as above basically. Except the added  knowledge of how society views people with depression and anxiety and how that portrayal could reflect on me and affect my chances of getting a job I'm qualified for.
847;
848;I want to be viewed as someone they can rely on and who is emotionally strong, even though that might not be the case.
849;I am currently an opiate addict and will be for as long as I live. I have not used in 3 years. It still messes with me to this day. I do not think I would ever be comfortable sharing that with an employer. Its not documented anywhere that I am an addict so there would be no reason to share such a thing to an employer. Most people do not realize that I have something wrong with my brain chemistry not that I am a terrible person or want to be this way. I do great work and I have had my current job for 6 years. But I feel like if I told any employer that I would be discriminated against or eventually let go.
850;
851;I think it would negatively impact the interview.
852;Depends on relevance to performance
853;"Of fear of being regarded as weak or unable to perform job tasks. Requiring time off for ""fake"" reasons. "
854;"In my experience, many people see mental health as a lesser issue than physical health, and one that can fixed if they ""man up"" or grow up. I worry that mentioning a chronic mental health issue would be viewed as a detriment and a weakness to my work."
855;It may affect my being hired
856;I believe the bias against mental health issues is too strong. And it DOES effect my performance. It's why I freelance.
857;wouldn't want the stigma
858;
859;Seems more private than a physical issue.
860;That would be job suicide.
861;The stigma makes me wary of bringing up mental health issues during an initial interview. I feel like the more I get to know a job and it's people, that determines how comfortable I am with being open about my mental health. I feel like it's too risky to bring up in an interview where both parties don't know one another well enough. I have anxiety and depression, which can also include focus/motivation issues. I feel like mentioning things like this would give the impression that I'm not a good employee who can get things done. However that's not true. I am very responsible and will meet deadlines so long as I can work when I'm most productive and there are flexible schedules.
862;I feel it's best to be candid in an interview, however mental health issues are still a stigma — I'd likely play it by ear and balance the decision of whether to bring it up during an interview based on the tone and thoroughness of the interview.
863;A negative count against me for the job
864;I feel like it would effect my chances of getting a job. It's also none of their business unless it effects my performance.
865;
866;
867;Mental health issues are stigmatized.
868;I would only discuss my mental health issues with a person after I have established that I can trust them.  I also want to show that it will not affect my job performance before I reveal any sort of personal issues.
869;To avoid the stigma that it brings.
870;afraid of stigma, being seen as less capable
871;Haven't thought it through 
872;I would want to steer away from this as stress is the common denominator in all jobs and stress triggers panic and potentially depression. I've had employers bail and then the family who I was supporting as well. 
873;Depends on the level of commitment I'm considering with such an interviewer.
874;
875;Bad experience before, I need to trust the new people to open myself
876;Medical privacy 
878;Same as physical: I don't feel that it is their business and although they should not take it into consideration when hiring, let's be honest, they do.
880;There is still a stigma around mental health issues. The interviewer's perception of my skills and capability to perform the required tasks of the role may be altered because of this (even though I wouldn't have the job yet).
881;That's private information asked none of their business.
882;This would be more difficult because I think people do not understand and are more biased against mental health issues than physical ones, and I'd be concerned they'd find another pretext for not hiring me.
883;
884;not sure - you usually don't know the ppl interviewing you 
885;I would bring it up only if I would need accommodations in order to do my job.
886;See above. Also, it's analogous to bringing up my black wife or gay son.
888;"There's too little understanding or sympathy around mental health. I'd be labeled ""crazy,"" and that'd be the end of the interview."
889;I am a veteran with PTSD-related issues. I believe in total transparency. If it's not appreciated, then I know the potential employer is not for me.
890;Idk
891;Same reason as above. But less likely
892;Seems like it would work against me
893;Again: They need to know who they're hiring.
894;
895;fear
896;Same as before.
897;As before.
898;
899;I would not interview for a position where I believed my mental health would be an issue.
900;Interviewers, especially HR people, tend to look for ways to eliminate candidates, rather than perform positive Selection Interviewing methods.
901;same reason as above.
902;Respecting my right to privacy and avoiding any risk of discrimination.
903;They will definitely be biased
904;"I'm not comfortable enough explaining or discussing mental health. I feel that it may ""make it weird"" in the interview."
905;Because I try not to let it affect my work. 
906;Same reason as before. Add to that the stigma associated with mental health. Not a good idea. I think employers, especially big companies, see mental health issues like depression as undesirable.
907;I don't have a current issue, but I would want to know about health coverage and their general policies.
908;
909;Almost certainty it would impact negatively on getting the position.
910;Trying to get a job
911;It's illegal for that to effect a job offer
912;
913;I am uncomfortable discussing mental health issues outside of my immediate family.
914;Same, I don't want them to think I can't work
915;Not unless I was aware how they felt about mental health.
916;Similarly to physical issues, only if I felt I needed accommodation.
917;
918;Dependant on how comfortable I felt speaking the interviewer(s), dependant if they have mentioned there is an avenue/approach they embrace to address mental health issues. Dependant on how my mental health is that day/week/ etc
919;Same reason, if I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.
921;fear of discrimination
922;Same as above
923;I'm an honest person.
924;Same reasoning as before.
925;Because it is not an accepted excuse
926;Depends on the health issue
927;Concerned that I would be viewed as unreliable, or a liability.
928;It's embarassing
929;
930;some people view mental illness as weakness. i don't want my employer prejudiced against me on account of my depression.
931;I don't suffer from any mental health issues that warrant discussion - so I'm not sure!
932;The tech field seems highly reliant on mental capabilities. So I would fear that any issues disclosed here might negatively impact my standing (justified or not).
933;Unless I felt comfortable or knew how the employer felt about mental health, I most likely wouldn't feel ready to disclose that information that early on.
934;I am not sure it would hinder my place in the job
935;I would likely perceive that as irrelevant to the interview process.
936;
937;
938;Seems like it would only hurt chances of getting a job.
939;If it affected my ability to do my job
940;Would not get the job
941;
942;As above
943;I cannot explain
944;"The one time I did in the past, the interviewer clearly wrote me off immediately.
Now, I try to judge whether an organization would be a supportive environment without outing myself. It’s a lot easier to ask for accommodation after getting hired and demonstrating the ability to do the job than to give the employer a reason not to hire you in the first place."
945;
947;
948;If I was mentally unstable or unable to work regular hours, I could bias my own interview with this information.
949;Depends if it affects job in anyway. 
950;Don't want to set a bad precedent. 
951;
952;I feel like mental health is a private issue
953;I would rather have our conversation and my qualifications be the focus of an interview.
954;
955;It is not treated with respect
956;Most of employers would refuse to hire me in my opinion. 
957;would certainly mean no job
958;Does not seem beneficial to bring up in interview.
959;I would not want to risk possible discrimination.  Even if it's illegal, it can bias opinions.
960;It isn't a reason they should use to determine if I'm qualified for the job
961;"Not everyone regards mental health as realistic; its kind of an enigma as to treatment options"
962;Would feel it would negatively impact my chances.  So only if it was asked.
963;I'm fairly certain that would influence decisionmaking. There are so many ways to get away with discriminating on that basis, they can just chalk it up to 'cultural fit'
964;I would be afraid that I would be looked-over.
965;Tech industry attitudes such as working long hours expected, peer arrogance, judgemental, etc. present a culture of intolerance, but over the past several years, I have noticed some improvement.  Plus, I'm more of a private person.
966;believe it would be an automatic red flag
967;feel it would negetivly impact my canidacy
968;My employer should be aware of any issues that could reasonably affect my performance
969;It is good to be open
970;Discrimination and not hired
971;Shouldn't generally be relevant
972;Same as physical - would be seen as a negative
973;Nobody's business but my own.
974;Would definitely not be hired
975;As with physical issues, I don't feel like it is any of their business if it doesn't impact my ability to work.  However, mental health issues don't always confine themselves to certain areas of your life, and can spill over.  I feel like if I was in need of a job I would leave out mental issues because they could represent the tipping point between choosing me and another equally qualified candidate.
976;Depends on the issue. It may not be relevant or might not require their support. If it was pertinent, I probably would.
977;Stigma
978;Risk not getting position
979;I think this also depends on if it would effect my ability to perform the job tasks.
980;I brought it up before a Google interview and they weren't willing to make allowances for it. Disclosing it doesn't seem to yield positive outcomes.
981;
982;Same as above
983;
984;
985;
986;potential negative outcome
987;Doesn't concern them
988;jjjjjj
989;I would bring it up because my mental health issues have made me a stronger person and developer. 
990;Mental health issues are not as easy for healthy individuals to relate to. Because of all the stigma in mental illness I would want a new employer to know me better before learning about my mental illness.
991;Because it might just make me look stupid.
992;It would depend upon if it would have any direct or indirect bearing on my position. If it was applicable, I would bring it up. If not, I'd not bring it up unless prompted, same as a physical issue.
993;
994;
995;
996;It is embarrassing and would probably lose me the job. 
997;To see how they react, plus to allow them to know how to best talk with me.
998;Same as physical health issues.
999;Because I don't want to cause any surprise, and I might need some days off because of it
1000;
1001;Depending on the company's culture I would be afraid that it may come off as a weakness or leave a bad impression.
1002;Risk not getting the job.
1003;
1004;I would not be comfortable appearing in any way vulnerable or give the employer a chance to exercise bias against me
1005;Because it's me. Take it or leave it.
1006;
1007;Although illegal, I wouldn't want a mental health issue to weigh on someones mind when they make the decision whether or not to hire me.
1008;I did for my current job. I didn't want surprises. And I wanted to know if that's a blocker of getting hired. It might become an issue some day so I wanted to be sure they know what they get and that, through their reaction I get a glimpse of what I get
1009;Stigma.
1010;I feel that physical issues can be addressed by the employer (installation of ramps, no prolonged standing, etc), while mental issues are perceived as being strictly the responsibility of the individual.
1011;
1012;It's not relevant to the role and illegal to allow for discrimination based in such things in the UK.
1013;
1014;Too much stigma
1015;I would bring it up if I felt it would impact my ability to do my job.
1016;
1017;it might impact the services they needed to provide
1018;
1019;Again, some of that is protected by law in the US.
1020;Fear it might make the prospective employer uncomfortable with hiring me
1021;Again, not part of the hiring process.
1022;Same as physical. 
1023;If relevant for the job, I would. If not, I wouldn't.
1024;
1025;It would be uncomfortable
1026;Because that is up to them to share 
1027;If it came up, I would. I would not bring it up unprompted.
1028;
1029;"It's roughly equivalent to getting a tattoo on your forehead saying ""don't hire me"""
1030;Possibility that this would have a bearing on doing the job
1031;Not relevant to the interview process.
1032;Mental health issues have a negative stigma. 
1033;Because of the perceptions I think they would have.
1034;Stigma
1035;I wouldn't trust a potential employer not to hold mental health against me. 
1036;Because I'm sure it would mean I didn't get the job 
1037;"there are ways to ""legally"" discriminate. it doesn't take much effort to ""legally"" block a new hire for illegal reasons."
1038;same as with physical issue
1039;
1040;
1041;Prefer to keep this private in case an employer discriminates against me.
1042;Fear of discrimination 
1043;Lose out on job, for a certainty.
1044;
1045;I feel there is to much of a stigma attached to mental health issues to bring them up in an interview
1046;I would be certain that nobody would want to hire someone with a mental health issue. 
1047;
1048;It would make them perceive me as weak or someone who will cost them money from sick days
1049;There's a stigma. 
1050;the same 
1051;Same as physical : shouldn't affect outcome 
1052;Again, unless relevant.
1053;I don't yet know what they'd do with that information
1054;There is no benefit and it's a risk.
1055;I would raise it after I got the job if necessary
1056;Worried about it limiting opportunities, seen as a major negative 
1057;
1058;Stigma
1059;Nobody wants to hire a crazy person
1060;
1061;previous attempts haven't gone well
1062;I feel they would definitely weigh it against me in considering me for the job, whether intentionally/consciously or not.
1063;
1064;More Taboo.
1065;
1066;Don't believe they are equipped to understand. 
1067;I wouldn't expect them to hire me and I would expect them to make it known why they didn't hire me.
1068;
1069;same as above
1070;Stigma of mental illness.
1071;An interview is no place to discuss these kind of problems.  An interview is to sell yourself based on your merits.
1072;Viewed as disqualifying
1073;Fear of not getting the job 
1074;probably depends on atmosphere and attitude of interviewer
1075;It would affect my chance of getting the job
1076;If I do is depending on my trust in the person
1077;Mental issue are still considered a bit of a taboo and I have trouble expressing how I feel. It will greatly depend on how I feel on the moment with the interviewer
1078;"It's... just not done. You're advised against it in college: you're told ""don't bring up anything that might be negative in an interview."""
1079;"Because I think that it would put me as a candidate into the ""too hard basket"". It is much to easy to justify not employing someone on other criteria when the mental illness was actually a significant factor thereby avoiding accusations of discrimination."
1080;Too easy for that to immediately disqualify me in their eyes, without me having any proof of this or recourse.
1081;
1082;It might make me look like a liability 
1083;
1084;People who never struggled with mental health issues are incapable of understanding.
1085;It's important to let people know if aspects of the job are going to be more difficult.
1086;The job market is too competitive.
1087;I feel stable on medication right now. I'd only bring it up after accepting the job, if high anxiety occurs
1088;"I'd have to feel really comfortable with the potential employer (close colleague or friend), and would probably not speak to my depression directly. I would bring up the concept of ""mental health days"" and be my own advocate, however."
1089;I would worry that bringing up a mental health issue would have negative consequences.
1090;"I wouldn't want it to affect my chances of getting the job. I'm already a woman and a person of color; why would I bring up something else that makes me different when ""cultural fit"" is such a big deal in this field?"
1091;Social stigma, lack of protection under the law and difficulties proving discrimination
1092;I would bring it up if I felt the employer was knowledgeable and progressive in their approach to mental health issues, such as understanding and appreciate the many positive attributes an ADHD person brings to the table. I would not bring it up unless I was certain they embraced mental health issues.
1093;If it was obvious and was going to affect my workplace, and if there was a way my employer would find out.  But I wouldn't take the job in the first place if I thought my mental illness would affect my job
1094;Again - unless I think it would affect my ability to do my job it is none of their business.
1095;I'd worry about the stigma.
1096;Not the topic of discussion unless my mental health impaired work directly 
1097;As stated above, employers are hiring your mind.
1098;only if it is impacting my work and I feel like and can trust the employer
1099;
1100;stigma
1101;Depends who the employer is, whether public or private sector
1102;Considering that I'm a marginalized person, that would be too risky
1103;i believe there is a stigma around mental health issues, since they are somewhat mysterious.  So, as uncomfortable as i am about asking for a sick day, or for a physical concession, asking for a mental health concession would absolutely be out of the question for me.
1104;
1105;Same as above
1106;"No idea, that's not something I'd be comfortable dealing with. It's essentially as if I told them I may or may not act like a retard some day, but it ain't my fault, it's XYZ disease's fault. :-)

Not a very good pitch to sell yourself"
1107;Fear they would think I was unstable, a risk, or not all there.
1108;Again, depends if it's going to affect my work.
1109;
1110;Same answer. When someone hears that you have mental health issue they do not want to risk hiring you. People are weird...
1111;I would be more worried that a company would know how to deal with a mental health issue.
1112;
1113;Same answer
1114;I feel a lot less protected when discussing mental health, that protection is non-existent or unclear
1115;Depends on the issue, if it would influence my work I would certainly mention it.
1116;
1117; Personal
1118;"Don't want to get rejected. But want to be fully open, to build trust and don't start a job with any ""secrets"""
1119;This is a conservative area. Employers don't want to hear about someone’s “drama”, or risk having that be exposed to a paying client. It might impair the bottom-line.
1120;
1121;It would certainly affect the outcome of the interview.
1122;They would assume lots of things, it takes a lot of education to describe the effects of a mental illness, and requires nuance to interpret how it affects a candidates ability to do a job.
1123;I would bring up a mental health issue in an interview if it affected my ability to work, healthcare coverage, or schedule. However, unlike physical health issues, it seems clear that mental health issues are strongly affected by stress -- to that end, I would feel comfortable asking about the working conditions of the workplace are such that they actively promote finding the most optimum balance between stress and productivity.
1124;"No because I don't feel comfortable discussing it probably because they're (mental illnesses) are not as ""accepted""."
1125;Too much stigma, no way I would get the job.
1126;Concerned would not get the job
1127;Fear of implicit bias against me.
1128;I would definitely be worried that it would significantly hurt my chances of getting hired.
1129;I wouldn't get the job
1130;Too afraid of doing so.
1131;I think they would question whether I could perform the job as well as a candidate without mental health issues.
1132;This seems like it would be disqualifying myself or bringing up trouble that my employer likely wouldn't want to deal with. 
1133;May treat me differently or not hire me
1134;
1135;I work in IT and i might know that my illness has positives my employer is mostly likely ignorant enough to not understand both sides of it. i usually talk about it in a strength versus weakness thing. 
1136;Why give an employer a reason not to choose you?
1137;I would be too afraid they wouldn't hire me if I told them.
1138;
1139;
1140;"Because they would boot my ""crazy"" ass right out of there."
1141;i am not obligated to
1142;Stigma. 
1143;Interviewers may not be trained on how to respond to this.
1144;I would be concerned about how it may affect their decision making. I suppose I shouldn't be as I wouldn't want a job with anyone who let it affect that, but still, I feel mental health issues carry a stigma that many physical ones do not (though I do feel for those with psoriasis and other physical conditions as I am sure they see real stigma from closed-minded individuals).
1145;the large stigma against people with mental health issues
1146;Comfort discussing personal issues with someone who I've presumably only recently met.
1147;May bias employer against me.
1148;
1149;if not current, then feel it's not relevant.
1150;Same as above. My desire for the job may trump my willingness to disclose a potential issue. 
1151;I would not expect the employer to hire me if I were to bring up such a topic in an interview.
1152;It depends on the employer, I think being open about mental health issues with some companies would be good to help find out what their policies are, I wouldn't want to end up at a place with crappy policies for mental health care
1153;There is a stigma associated with mental health issues, at least with some. It is a difficult thing to be transparent about.
1154;
1155;Same as physical...unless it was directly related to part of the job
1156;They would not hire me.
1157;Less likely to get the job.
1158;Would likely negatively affect selection status.
1159;I might not bring up a mental health issue if it did not have any affect on my current work.
1160;That would be a one way ticket out from consideration.
1161;I am privileged to be choosy with employment and would not want to work where bringing up such issues is problematic.
1162;It seems obvious: when trying to get a job you are trying to put your best foot forward and admitting you have a mental health issue or physical health issue makes you look less desirable as an employee
1163;Retaliation
1164;If a prospective employer is unable to answer questions about their mental health services then you probably don't want to work there. That said, I acknowledge that that's a fairly privileged position to take and many people don't have that choice.
1165;I think it would very much decrease my likelihood of getting hired.
1166;"When asked about ""weaknesses"" I am open about my anxiety and what I'm doing to work on it"
1167;
1168;I believe it would negatively influence their decision on whether to hire me or not
1169;I wouldn't get the job.
1170;
1171;Would depend on issue.
1173;
1174;
1175;The mental health issue itself, no, because alone it isn't relevant.  The work I had to do to overcome the issue, yes.
1176;I don't have official diagnosis but I'll maybe get one later
1177;Taboo subject
1178;
1179;
1180;Tolerance and understanding
1181;"Majority of mental health issues, such as depression, bipolar disorder, OCD, schizophrenia are considered a disability. I am afraid that employers might discriminate against what they called ""disabled"" people. I don't even feel comfortable telling my family and friends about my mental health issues.  "
1182;I would not want to bring up anything that could  negatively impact my interview
1183;Non of his/her business
1184;
1185;
1186;
1187;It depends on if I thought the issues would impact my ability to get a job I desired.
1188;Stigma
1189;I feel like all things being equal, a potential employer will always choose a candidate without mental health issues.
1190;Rather keep it hidden, and come forward later once they had come to know me
1191;I assume they wouldn't hire someone whose primary method of work has some kind of issue.
1192;Bias
